category,month,latitude,longitude,street,outcome,source
anti-social-behaviour,2026-06,51.516930,-0.132220,On or near Hanway Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510152,-0.132382,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518495,-0.135615,On or near Rathbone Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510295,-0.132318,On or near Coventry Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509496,-0.148318,On or near Farm Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495591,-0.136794,On or near Greencoat Row,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516930,-0.132220,On or near Hanway Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518495,-0.135615,On or near Rathbone Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511022,-0.119880,On or near Strand,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511790,-0.132459,On or near A401,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511622,-0.122507,On or near Covent Garden,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512495,-0.138915,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510641,-0.144467,On or near Bruton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508087,-0.124122,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509396,-0.130626,On or near Orange Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498619,-0.115780,On or near Royal Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507938,-0.128898,On or near Trafalgar Square,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512117,-0.123121,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.520467,-0.121711,On or near Old Gloucester Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516820,-0.127583,On or near Dyott Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506270,-0.137627,On or near Pall Mall Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511054,-0.135400,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502428,-0.110508,On or near Pear Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514195,-0.145735,On or near Dering Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508653,-0.122975,On or near York Buildings,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510729,-0.135283,On or near Denman Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516295,-0.129487,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512802,-0.123770,On or near James Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510729,-0.135283,On or near Denman Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507832,-0.123383,On or near Villiers Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512247,-0.130120,On or near Gerrard Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513777,-0.123456,On or near B402,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514369,-0.121645,On or near Drury Lane,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495936,-0.141491,On or near Carlisle Place,,UK Police street-level API sample around central London
